Time (ms),L-AI,L-TS,C7,R-TS,R-AI,T8,R-WRIST-JOINT,R-ELBOW-JOINT
6760,-5.19708252,-30.55062485,-24.63751984,-32.40716553,-10.73858643,-25.36489868,256.9137573,265.7380981
6803,-4.60622406,-30.97354126,-25.1060791,-33.23361206,-10.27067566,-25.62547302,283.0789185,292.043457
6845,-3.965339661,-31.22811508,-25.49304199,-33.91545105,-9.7579422,-25.77126312,309.2519226,318.6682739
6864,-3.269493103,-31.34590912,-25.80864716,-34.44475174,-9.182548523,-25.82891083,335.3513794,345.2160645
6895,-2.507598877,-31.37585449,-26.05871582,-34.83386612,-8.531814575,-25.82860565,361.2998047,371.396637
6932,-1.669570923,-31.36114502,-26.24369812,-35.1299324,-7.802459717,-25.79711914,386.9807434,397.0463867
6956,-0.76335907,-31.33091354,-26.37889862,-35.39863968,-6.995513916,-25.75660706,412.2722168,422.1077271
6994,0.180717468,-31.30023193,-26.50375366,-35.69116211,-6.12172699,-25.72649384,437.0943604,446.5782471
7028,1.122032166,-31.27379608,-26.66687012,-36.03696442,-5.210670471,-25.72646332,461.4085083,470.4335938
7074,2.0233078,-31.25053024,-26.90183258,-36.45480347,-4.309928894,-25.77833557,485.1796875,493.5973206
7104,2.857841492,-31.22795105,-27.2081604,-36.94578934,-3.479263306,-25.90507507,508.343811,515.9786377
7120,3.608840942,-31.20614624,-27.55376434,-37.48635864,-2.783920288,-26.12471771,530.8152466,537.4997559
7164,4.259002686,-31.19142914,-27.89886475,-38.05192184,-2.284225464,-26.4375,552.5336304,558.0897827
7198,4.784484863,-31.19935989,-28.22421265,-38.64266968,-2.024719238,-26.81684113,573.4611816,577.6744385
7226,5.163887024,-31.25587845,-28.54766083,-39.28308105,-2.032974243,-27.22837067,593.5300293,596.1912842
7261,5.387168884,-31.39389801,-28.91048431,-40.00520706,-2.325866699,-27.66688538,612.6734619,613.6303101
7292,5.449264526,-31.64149475,-29.34185028,-40.82329559,-2.908699036,-28.16495514,630.8446045,630.0054932
7327,5.338623047,-31.99723053,-29.83818054,-41.70677567,-3.766372681,-28.76157379,647.8877563,645.2626953
7361,5.044021606,-32.41038895,-30.36438751,-42.58180618,-4.859519958,-29.46483612,663.5164185,659.2850342
7395,4.570259094,-32.80849838,-30.86750793,-43.37643433,-6.126396179,-30.24234009,677.5166626,671.9813232
7429,3.940330505,-33.15781403,-31.30712128,-44.06697845,-7.48613739,-31.03907776,689.8644409,683.3165283
7471,3.193466187,-33.48259354,-31.6783905,-44.67269897,-8.852882385,-31.80119324,700.6453857,693.3008423
7499,2.384422302,-33.82673645,-31.99185181,-45.20307159,-10.1581955,-32.48603058,709.9556274,701.996582
7537,1.575363159,-34.19757462,-32.23261261,-45.6196022,-11.35968781,-33.05105591,717.8898315,709.5153198
7565,0.824462891,-34.52971649,-32.35128021,-45.85429001,-12.43282318,-33.45026398,724.5979614,715.991333
7599,0.177711487,-34.7113266,-32.28973389,-45.84894943,-13.36110687,-33.65389252,730.2786865,721.56427
7634,-0.335449219,-34.66092682,-32.00711823,-45.57255554,-14.13276672,-33.65946198,735.0946655,726.3692627
7668,-0.708198547,-34.38565063,-31.50330353,-45.03474808,-14.74150085,-33.48439789,739.1637573,730.5080566
7697,-0.959098816,-33.98883438,-30.84442139,-44.30961227,-15.18876648,-33.16470337,742.6035767,734.0141602
7726,-1.118782043,-33.61506271,-30.14801788,-43.52566528,-15.49105072,-32.75794983,745.4851074,736.8724365
7766,-1.212974548,-33.35076141,-29.51817322,-42.80070877,-15.68215942,-32.32344818,747.7618408,739.0709839
7803,-1.260025024,-33.17644119,-28.9980011,-42.17700195,-15.79347992,-31.8867569,749.3256226,740.6060181
7832,-1.275276184,-33.01115799,-28.56690216,-41.61374283,-15.83364105,-31.43223572,750.114563,741.4667969
7866,-1.271438599,-32.77773285,-28.15565491,-41.04085922,-15.79538727,-30.93343353,750.1340332,741.6555786
7897,-1.257492065,-32.43582153,-27.68140411,-40.42562866,-15.67313385,-30.38570404,749.4269409,741.2032471
7937,-1.238639832,-31.98249817,-27.10079956,-39.78714371,-15.47154999,-29.80628204,748.045166,740.1397705
